sensitive_column,group,false_positive_rate,false_negative_rate,group_cost,false_positive_rate_disparity,false_negative_rate_disparity,method
customer_age,10,0.0,1.0,13.0,0.0016897243637131693,1.0,AI-only
customer_age,20,0.0001437676714429482,0.9935897435897436,155.171,0.0016897243637131693,1.0,AI-only
customer_age,30,0.00025032855623005195,0.9629629629629629,390.456,0.0016897243637131693,1.0,AI-only
customer_age,40,0.0006563593932322054,0.9701834862385321,424.026,0.0016897243637131693,1.0,AI-only
customer_age,50,0.0016897243637131693,0.9453125,242.912,0.0016897243637131693,1.0,AI-only
customer_age,60,0.0016877637130801688,0.9312977099236641,122.228,0.0016897243637131693,1.0,AI-only
customer_age,70,0.0,0.92,23.0,0.0016897243637131693,1.0,AI-only
customer_age,80,0.0,0.8333333333333334,5.0,0.0016897243637131693,1.0,AI-only
customer_age,90,0.0,0.0,0.0,0.0016897243637131693,1.0,AI-only
customer_age,10,0.002056907781967775,0.6923076923076923,9.342,0.33127642555136555,0.717948717948718,best expert only
customer_age,20,0.004600565486174342,0.717948717948718,117.472,0.33127642555136555,0.717948717948718,best expert only
customer_age,30,0.0048188247074285,0.6864197530864198,286.778,0.33127642555136555,0.717948717948718,best expert only
customer_age,40,0.004959159859976663,0.6811926605504587,304.752,0.33127642555136555,0.717948717948718,best expert only
customer_age,50,0.08184602386735663,0.1015625,70.17500000000001,0.33127642555136555,0.717948717948718,best expert only
customer_age,60,0.07848101265822785,0.10687022900763359,24.602,0.33127642555136555,0.717948717948718,best expert only
customer_age,70,0.06784660766961652,0.12,4.311,0.33127642555136555,0.717948717948718,best expert only
customer_age,80,0.029411764705882353,0.16666666666666666,1.114,0.33127642555136555,0.717948717948718,best expert only
customer_age,90,0.3333333333333333,0.0,0.057,0.33127642555136555,0.717948717948718,best expert only
customer_age,10,0.01988344189235516,0.6923076923076923,12.306000000000001,0.3134498914409782,0.6923076923076923,random expert
customer_age,20,0.02237983418795227,0.6923076923076923,134.619,0.3134498914409782,0.6923076923076923,random expert
customer_age,30,0.026628700168971776,0.5604938271604938,275.507,0.3134498914409782,0.6923076923076923,random expert
customer_age,40,0.03037485414235706,0.5275229357798165,277.481,0.3134498914409782,0.6923076923076923,random expert
customer_age,50,0.10455169500475235,0.21875,112.43,0.3134498914409782,0.6923076923076923,random expert
customer_age,60,0.10759493670886076,0.25190839694656486,47.535,0.3134498914409782,0.6923076923076923,random expert
customer_age,70,0.11209439528023599,0.28,9.166,0.3134498914409782,0.6923076923076923,random expert
customer_age,80,0.08823529411764706,0.5,3.342,0.3134498914409782,0.6923076923076923,random expert
customer_age,90,0.3333333333333333,0.0,0.057,0.3134498914409782,0.6923076923076923,random expert
customer_age,10,0.0,1.0,13.0,0.0016897243637131693,1.0,numerical threshold
customer_age,20,0.0001437676714429482,0.9935897435897436,155.171,0.0016897243637131693,1.0,numerical threshold
customer_age,30,0.00025032855623005195,0.9629629629629629,390.456,0.0016897243637131693,1.0,numerical threshold
customer_age,40,0.0006563593932322054,0.9701834862385321,424.026,0.0016897243637131693,1.0,numerical threshold
customer_age,50,0.0016897243637131693,0.9453125,242.912,0.0016897243637131693,1.0,numerical threshold
customer_age,60,0.0016877637130801688,0.9312977099236641,122.228,0.0016897243637131693,1.0,numerical threshold
customer_age,70,0.0,0.92,23.0,0.0016897243637131693,1.0,numerical threshold
customer_age,80,0.0,0.8333333333333334,5.0,0.0016897243637131693,1.0,numerical threshold
customer_age,90,0.0,0.0,0.0,0.0016897243637131693,1.0,numerical threshold
customer_age,10,0.0,1.0,13.0,0.0016897243637131693,1.0,distance threshold
customer_age,20,0.0001437676714429482,0.9935897435897436,155.171,0.0016897243637131693,1.0,distance threshold
customer_age,30,0.00025032855623005195,0.9629629629629629,390.456,0.0016897243637131693,1.0,distance threshold
customer_age,40,0.0006563593932322054,0.9701834862385321,424.026,0.0016897243637131693,1.0,distance threshold
customer_age,50,0.0016897243637131693,0.9453125,242.912,0.0016897243637131693,1.0,distance threshold
customer_age,60,0.0016877637130801688,0.9312977099236641,122.228,0.0016897243637131693,1.0,distance threshold
customer_age,70,0.0,0.92,23.0,0.0016897243637131693,1.0,distance threshold
customer_age,80,0.0,0.8333333333333334,5.0,0.0016897243637131693,1.0,distance threshold
customer_age,90,0.0,0.0,0.0,0.0016897243637131693,1.0,distance threshold
